"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 09, 2020","3,477.13","3,459.67","3,482.34","3,458.07","-","0.88%"
"Oct 08, 2020","3,446.83","3,434.28","3,447.28","3,428.15","-","0.80%"
"Oct 07, 2020","3,419.45","3,384.56","3,426.26","3,384.56","-","1.74%"
"Oct 06, 2020","3,360.95","3,408.74","3,431.56","3,354.54","-","-1.40%"
"Oct 05, 2020","3,408.63","3,367.27","3,409.57","3,367.27","-","1.80%"
"Oct 02, 2020","3,348.44","3,338.94","3,369.10","3,323.69","-","-0.96%"
"Oct 01, 2020","3,380.80","3,385.87","3,397.18","3,361.39","-","0.53%"
"Sep 30, 2020","3,363.00","3,341.21","3,393.56","3,340.47","-","0.83%"
"Sep 29, 2020","3,335.47","3,350.92","3,357.92","3,327.54","-","-0.48%"
"Sep 28, 2020","3,351.60","3,333.90","3,360.74","3,332.91","-","1.61%"
"Sep 25, 2020","3,298.46","3,236.66","3,306.88","3,228.44","-","1.60%"
"Sep 24, 2020","3,246.59","3,226.14","3,278.70","3,209.45","-","0.30%"
"Sep 23, 2020","3,236.92","3,320.11","3,323.35","3,232.57","-","-2.37%"
"Sep 22, 2020","3,315.57","3,295.75","3,320.31","3,270.95","-","1.05%"
"Sep 21, 2020","3,281.06","3,285.57","3,285.57","3,229.10","-","-1.16%"
"Sep 18, 2020","3,319.47","3,357.38","3,362.27","3,292.40","-","-1.12%"
"Sep 17, 2020","3,357.01","3,346.86","3,375.17","3,328.82","-","-0.84%"
"Sep 16, 2020","3,385.49","3,411.23","3,428.92","3,384.45","-","-0.46%"
"Sep 15, 2020","3,401.20","3,407.73","3,419.48","3,389.25","-","0.52%"
"Sep 14, 2020","3,383.54","3,363.56","3,402.93","3,363.56","-","1.27%"
"Sep 11, 2020","3,340.97","3,352.70","3,368.95","3,310.47","-","0.05%"